file,res_x,res_y,clip_x,clip_y
Movie_Gothic_71.jpg,0.5193484,0.48975325,0.5077622,0.56563306
Movie_Gothic_72.jpg,0.92696375,0.65387005,0.31232348,0.43615916
Movie_Gothic_73.jpg,0.46282244,0.22780085,0.32087585,0.48607713
Movie_Gothic_74.jpg,0.4594166,0.2728691,0.21150419,0.85879594
Movie_Gothic_75.jpg,0.5849435,0.7130087,0.6519286,0.31872052
Movie_Gothic_76.jpg,0.7804372,0.6413525,0.79086965,0.35711554
Movie_Gothic_77.jpg,0.35477108,0.5740638,0.8590123,0.73908544
Movie_Gothic_78.jpg,0.87140596,0.66171443,0.1651583,0.461846
Movie_Gothic_79.jpg,0.5481211,0.5088541,0.053855974,0.5703055
Movie_Gothic_80.jpg,0.46544418,0.3981286,0.6421676,0.6079114
Movie_Gothic_81.jpg,0.32721794,0.58573914,0.44028386,0.69158185
Movie_Gothic_82.jpg,0.14276165,0.2978541,0.24383014,0.3493456
Movie_Gothic_83.jpg,0.34483758,0.57615334,0.88486797,0.73334265
Movie_Gothic_84.jpg,0.047832746,0.51667935,0.22323631,0.42553008
Movie_Gothic_85.jpg,0.7248397,0.2795353,0.31281734,0.60984063
Movie_Gothic_86.jpg,0.19813056,0.5168935,0.9839085,0.5860567
Movie_Gothic_87.jpg,0.35441208,0.35724232,0.42046025,0.8897558
Movie_Gothic_88.jpg,0.6375192,0.46645543,0.9361488,0.72312295
Movie_Gothic_89.jpg,0.35853326,0.89957666,0.27597567,0.36565027
Movie_Gothic_90.jpg,0.5444039,0.6811999,0.8315768,0.838472
Movie_Gothic_91.jpg,0.27807334,0.7213305,0.59970486,0.8477485
Movie_Gothic_92.jpg,0.41900477,0.39633596,0.45012465,0.79225713
Movie_Gothic_93.jpg,0.6680977,0.24519041,0.5763979,0.006632399
Movie_Gothic_94.jpg,0.020537198,0.8287658,0.8235355,0.691331
Movie_Gothic_95.jpg,0.56965107,0.3003485,0.046189886,0.55453914
Movie_Gothic_96.jpg,0.432202,0.83038974,0.5552074,0.26932225
Movie_Gothic_97.jpg,0.099623725,0.69172513,0.36183912,0.6813494
Movie_Gothic_98.jpg,0.46341854,0.6575592,0.73836625,0.8043104
Movie_Gothic_99.jpg,0.48411298,0.61883014,0.10307195,0.6071484
Movie_Gothic_100.jpg,0.31477118,0.92338806,0.6046802,0.5393134
Movie_Gothic_101.jpg,0.8736711,0.6222576,0.4514087,0.44255078
Movie_Gothic_102.jpg,0.4575228,0.38641778,0.45941445,0.79102904
Movie_Gothic_103.jpg,0.87991285,0.7725768,0.6388511,0.2658959
Movie_Gothic_104.jpg,0.814552,0.454535,0.295776,0.50578344
Movie_Gothic_105.jpg,0.83369,0.30872855,0.34850293,0.5921355
Movie_Gothic_106.jpg,0.8217034,0.071829766,0.50675184,0.36365446
Movie_Gothic_107.jpg,0.45714846,0.8420516,0.8072172,0.84828836
